threshold,年化收益率,夏普比率,最大回撤,收益回撤比,胜率,累计收益率,年换手(单位),平均持仓绝对值
0.44,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.45,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.46,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.47,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.48,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.49,0.1809152722103169,1.2611030184599918,0.12470196129938538,1.450781289445594,0.24653061224489795,1.2442090809908564,124,0.46574225122349105
0.25,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.26,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.27,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.28,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.29,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.3,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.31,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.32,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.33,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.34,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.35,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.36,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.37,0.1584496944376661,1.0708373285131898,0.11242070410394489,1.409435172111736,0.3020408163265306,1.044156142523188,130,0.5709624796084829
0.63,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.64,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.65,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.66,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.67,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.68,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.69,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.7,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.71,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.72,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.73,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.74,0.09570214497424123,1.0021971122426871,0.11820539370118177,0.8096258722015021,0.09061224489795919,0.5593719228968363,64,0.16231647634584012
0.88,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.89,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.9,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.91,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.92,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.93,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.94,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.95,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.96,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.97,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.98,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.99,0.040229998608859674,0.558513276664384,0.0760485579192266,0.5290040956672595,0.011428571428571429,0.21134483045360297,8,0.01957585644371941
0.75,0.03276268444944064,0.4198323517857896,0.0760485579192266,0.43081269843721226,0.026938775510204082,0.1696560443235453,22,0.05057096247960848
0.76,0.03276268444944064,0.4198323517857896,0.0760485579192266,0.43081269843721226,0.026938775510204082,0.1696560443235453,22,0.05057096247960848
0.77,0.03276268444944064,0.4198323517857896,0.0760485579192266,0.43081269843721226,0.026938775510204082,0.1696560443235453,22,0.05057096247960848
0.78,0.03276268444944064,0.4198323517857896,0.0760485579192266,0.43081269843721226,0.026938775510204082,0.1696560443235453,22,0.05057096247960848
