date,open,close,9M_minus_1M,factor_ma,factor_prev,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2025-07-01,4955.7689,4966.8164,3.34,2.721999999999999,2.2800000000000002,-1,-1,-1,0,0.0,-0.0025405765392634283,0.0025405765392634283,1.0620010901362005,2.1026622796926526,0.0025405765392634283
2025-07-02,4961.8576,4947.1364,3.369999999999999,3.1099999999999994,2.3720000000000003,-1,-1,-1,0,0.0,0.003962296653445718,-0.003962296653445718,1.057793126770798,2.1109936514068055,-0.003962296653445718
2025-07-03,4949.657,4976.6567,3.2699999999999996,3.2679999999999993,2.4340000000000006,-1,-1,-1,0,0.0,-0.005967148995527749,0.005967148995527749,1.0641051359646845,2.098397037760248,0.005967148995527749
2025-07-04,4974.9001,4969.2135,3.639999999999999,3.411999999999999,2.5940000000000003,-1,-1,-1,0,0.0,0.0014956225531891354,-0.0014956225531891354,1.0625136363243712,2.101535447695468,-0.0014956225531891354
2025-07-07,4962.1215,4966.0964,3.34,3.3919999999999995,2.6959999999999997,-1,-1,-1,0,0.0,0.0006272823657103022,-0.0006272823657103022,1.0618471402569782,2.1028537038227224,-0.0006272823657103022
2025-07-08,4966.1506,5018.7943,2.9400000000000013,3.312,2.71,-1,-1,-1,0,0.0,-0.010611533839737675,0.010611533839737675,1.073114967118444,2.0805392005845897,0.010611533839737675
2025-07-09,5019.9762,5008.498,2.780000000000001,3.194,2.7439999999999998,-1,-1,-1,0,0.0,0.002051548516343815,-0.002051548516343815,1.0709134196997858,2.084807527694744,-0.002051548516343815
2025-07-10,5006.5561,5026.4907,2.67,3.0740000000000003,2.7879999999999994,-1,-1,-1,0,0.0,-0.0035924342986661806,0.0035924342986661806,1.0747606057996173,2.077317993626136,0.0035924342986661806
2025-07-11,5028.2496,5045.7649,1.9499999999999993,2.736,2.75,1,-1,-1,0,0.0,-0.003834524154197716,0.003834524154197716,1.078881801302536,2.069352467603627,0.003834524154197716
2025-07-14,5050.6301,5052.9342,2.3100000000000023,2.5300000000000007,2.7600000000000002,1,1,-1,2,0.0006,-0.002020854943122718,0.001420854943122718,1.0804147358429619,2.0651706064404065,0.001420854943122718
2025-07-15,5052.2126,5042.6524,3.08,2.5580000000000007,2.8920000000000003,1,1,1,0,0.0,-0.0020348177104699827,-0.0020348177104699827,1.0782162888038158,2.0609683607152793,-0.0020348177104699827
2025-07-16,5042.1915,5044.1262,2.9400000000000013,2.5900000000000007,2.8960000000000004,1,1,1,0,0.0,0.00029226682370575574,0.00029226682370575574,1.0785314156538124,2.0615707133918235,0.00029226682370575574
2025-07-17,5042.0395,5090.8179,2.8900000000000006,2.634000000000001,2.920000000000001,1,1,1,0,0.0,0.009256647861030975,0.009256647861030975,1.0885150011755789,2.080653947526306,0.009256647861030975
2025-07-18,5097.6638,5110.4533,2.719999999999999,2.7880000000000007,3.1200000000000006,1,1,1,0,0.0,0.0038570226603469315,0.0038570226603469315,1.0927134282012407,2.0886790769502555,0.0038570226603469315
2025-07-21,5121.5168,5156.7249,2.950000000000001,2.9160000000000004,3.176000000000001,1,1,1,0,0.0,0.009054304439099381,0.009054304439099381,1.1026071882448667,2.10759061318854,0.009054304439099381
2025-07-22,5159.0052,5188.2653,2.5199999999999996,2.8040000000000003,3.108000000000001,1,1,1,0,0.0,0.00611636273247762,0.00611636273247762,1.1093511337596096,2.120481401870366,0.00611636273247762
2025-07-23,5193.877,5173.4662,0.9000000000000021,2.3960000000000004,2.8200000000000003,1,1,1,0,0.0,-0.002852417743556823,-0.002852417743556823,1.1061868009018387,2.114432903094789,-0.002852417743556823
2025-07-24,5170.7013,5229.1045,1.790000000000001,2.1760000000000006,2.772,1,1,1,0,0.0,0.010754549821935688,0.010754549821935688,1.1180833419645053,2.1371726770962622,0.010754549821935688
2025-07-25,5229.4519,5220.9501,2.460000000000001,2.124000000000001,2.646,1,1,1,0,0.0,-0.0015594257104635245,-0.0015594257104635245,1.1163397740546048,2.133839915075898,-0.0015594257104635245
2025-07-28,5223.9768,5238.8019,2.119999999999999,1.9580000000000006,2.6619999999999995,1,1,1,0,0.0,0.0034192627123557084,0.0034192627123557084,1.1201568330183493,2.1411360743316536,0.0034192627123557084
2025-07-29,5233.4712,5262.3192,2.039999999999999,1.8620000000000005,2.721999999999999,1,1,1,0,0.0,0.004489060752612017,0.004489060752612017,1.125185285094222,2.1507477642489374,0.004489060752612017
2025-07-30,5254.5848,5241.3291,2.8900000000000006,2.2600000000000002,3.1099999999999994,1,1,1,0,0.0,-0.003988754616025547,-0.003988754616025547,1.1206971970944186,2.142168959176383,-0.003988754616025547
2025-07-31,5228.7018,5168.7487,2.660000000000002,2.434,3.2679999999999993,1,1,1,0,0.0,-0.013847708971375217,-0.013847708971375217,1.105178108464019,2.1125048268621947,-0.013847708971375217
2025-08-01,5164.9045,5161.0932,3.119999999999999,2.566,3.411999999999999,1,1,1,0,0.0,-0.0014811128271722263,-0.0014811128271722263,1.1035412149912631,2.109375968865666,-0.0014811128271722263
2025-08-04,5138.1375,5199.566,3.5100000000000016,2.8440000000000003,3.3919999999999995,1,1,1,0,0.0,0.007454389701778696,0.007454389701778696,1.1117674412597824,2.1251000793651578,0.007454389701778696
2025-08-05,5210.9709,5239.873,3.5600000000000005,3.1480000000000006,3.312,1,1,1,0,0.0,0.007751993147120384,0.007751993147120384,1.1203858548456198,2.1415738406173412,0.007751993147120384
2025-08-06,5236.1427,5272.0772,3.92,3.3540000000000005,3.194,-1,1,1,0,0.0,0.006145988652778378,0.006145988652778378,1.1272717335962343,2.1547359291408625,0.006145988652778378
2025-08-07,5276.3548,5271.1082,3.74,3.5700000000000003,3.0740000000000003,-1,-1,1,2,0.0006,-0.0007837985225254801,-0.00018379852252548012,1.1270645427171146,2.153047050303169,-0.00018379852252548012
2025-08-08,5261.2349,5258.7829,4.0600000000000005,3.7580000000000005,2.736,-1,-1,-1,0,0.0,0.0023382749001432668,-0.0023382749001432668,1.1244291559860378,2.1580814661797203,-0.0023382749001432668
