date,open,close,total_mv,small_amount,small_full_ratio,factor_ma,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2024-09-12,3727.5288,3710.2684,76712676821048.0,77069179.53,1.0046472463708134e-06,1.0569893087743217e-06,-0.7203997761047788,0,0,0,0,0.0,-0.0,-0.003669774634053713,0.6495358579216663,1.4060284234791414
2024-09-13,3712.2073,3681.4386,76317194533764.98,77826805.82,1.0197807492198513e-06,1.0542896976889476e-06,-0.7409071503413458,0,0,0,0,0.0,-0.0,-0.007770273438978181,0.6444887866971937,1.4060284234791414
2024-09-18,3680.8572,3684.1618,76643717108154.03,72816702.25,9.500674679862718e-07,1.0500726029854846e-06,-0.8327671074849349,0,0,0,0,0.0,0.0,0.0007397108293480947,0.644965522032107,1.4060284234791414
2024-09-19,3695.7962,3731.5232,77311487357044.0,93120161.62,1.2044802758734616e-06,1.058655279732375e-06,-0.3965093355115192,0,0,0,0,0.0,0.0,0.012855407164799493,0.6532568164250872,1.4060284234791414
2024-09-20,3728.7019,3727.8114,77346957840446.0,84503063.31,1.0925195465905184e-06,1.0658010629163332e-06,0.052054755930503446,0,0,0,0,0.0,-0.0,-0.0009947144372571826,0.6526070124385525,1.4060284234791414
2024-09-23,3726.3811,3736.5711,77632592501476.0,81063529.53,1.0441945440435828e-06,1.0669280409404062e-06,0.26563152286561686,0,0,0,0,0.0,0.0,0.0023498238135115646,0.6541405239372452,1.4060284234791414
2024-09-24,3763.7444,3888.1951,80780373358306.0,135653793.01999998,1.6792914835674226e-06,1.1031244502222517e-06,2.5371178732543105,1,0,0,0,0.0,0.0,0.040578379466671866,0.6806844863420983,1.4060284234791414
2024-09-25,3937.0768,3937.567,81715272469483.02,158273069.8,1.9368848076607455e-06,1.1506168218692322e-06,3.578196463267293,1,1,0,1,0.0003,-0.0003,0.012697896769634953,0.6893277476823623,1.4056066149520976
2024-09-26,3932.3748,4096.2432,84617849764896.0,156685439.37,1.8516830645701599e-06,1.19502211838936e-06,3.3947925601724918,1,1,1,0,0.0,0.040298031754126384,0.040298031754126384,0.7171062991474665,1.4622497949552473
2024-09-27,4171.2482,4293.1102,87610755711160.98,181911385.49,2.0763590499063097e-06,1.2516250560051172e-06,3.191593495884412,1,1,1,0,0.0,0.048060378836881634,0.048060378836881634,0.7515706995508079,1.532526074054949
2024-09-30,4472.6235,4706.7729,95306026517222.03,314622617.57,3.3011828219818493e-06,1.360207429781709e-06,3.2745461773397047,1,1,1,0,0.0,0.09635501553163017,0.09635501553163017,0.8239883059791442,1.6801926477231417
2024-10-08,5252.3338,5037.0114,100886729015213.0,383083446.29999995,3.7971639088648983e-06,1.4732296012419468e-06,3.1094007346666683,1,1,1,0,0.0,0.07016240362903425,0.07016240362903425,0.8818013060888571,1.7980790024472286
2024-10-09,4919.8323,4661.7097,93756077134553.97,345106413.73,3.680896473886389e-06,1.5914492074292196e-06,2.919600985792535,1,1,1,0,0.0,-0.074508804963197,-0.074508804963197,0.81609934455719,1.6641062847454682
2024-10-10,4691.9184,4670.3593,94578183681313.97,264451635.62,2.796116665880192e-06,1.6764547684152873e-06,2.6303915721971762,1,1,1,0,0.0,0.0018554565935324785,0.0018554565935324785,0.8176135814670262,1.667193961723838
