date,open,close,total_mv,big_amount,inst_full_ratio,factor,trend,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2023-12-13,4474.8702,4429.4234,85206606591232.98,11486268.38,1.3480490351063737e-07,1.3480490351063737e-07,-6.741888852306592e-08,-1,-1,-1,0,0.0,0.012037360287689425,-0.012037360287689425,0.7754342861603505,0.9668890788501405
2023-12-14,4448.1123,4410.0145,84895451072291.02,10943878.83,1.2891007341112966e-07,1.2891007341112966e-07,-3.721665681374223e-08,-1,-1,-1,0,0.0,0.004381811862916418,-0.004381811862916418,0.772036479006341,0.9711258048859704
2023-12-15,4421.6291,4390.0106,84481164801667.02,11067953.17,1.3101089687841997e-07,1.3101089687841997e-07,-2.7663688405050952e-08,-1,-1,-1,0,0.0,0.004536016831690803,-0.004536016831690803,0.768534508542889,0.9755308478826225
2023-12-18,4377.8277,4350.3757,83974951582583.97,9445711.3,1.1248248581257889e-07,1.1248248581257889e-07,-6.090431281044772e-08,-1,-1,-1,0,0.0,0.009028429225205081,-0.009028429225205081,0.7615958491253817,0.9843383590997349
2023-12-19,4346.2028,4354.5403,84065962333123.03,8644372.02,1.0282844304744264e-07,1.0282844304744264e-07,-9.950311409562538e-08,-1,-1,-1,0,0.0,-0.0009572966307254127,0.0009572966307254127,0.7623249222657239,0.9833960553050749
2023-12-20,4357.3344,4300.2438,83179064540000.98,9214064.52,1.1077384160252171e-07,1.1077384160252171e-07,-5.825908477835997e-08,-1,-1,-1,0,0.0,0.01246893960310791,-0.01246893960310791,0.7528195388520487,0.9956579613246085
2023-12-21,4283.5053,4334.6467,83663937005494.0,9986470.899999999,1.1936410426566721e-07,1.1936410426566721e-07,-4.4125239857621415e-08,-1,-1,-1,0,0.0,-0.008000220824688986,0.008000220824688986,0.7588422614040056,0.9876924777681519
2023-12-22,4333.6072,4310.3902,83407573449864.98,11367331.97,1.362865684712999e-07,1.362865684712999e-07,-1.9056808446570118e-08,-1,-1,-1,0,0.0,0.005595957797437157,-0.005595957797437157,0.754595812134277,0.9932195631905887
2023-12-25,4302.5003,4314.5385,83548315673900.0,7900708.4799999995,9.45645452726719e-08,9.45645452726719e-08,-6.25069863499081e-08,-1,-1,-1,0,0.0,-0.0009623954694402137,0.0009623954694402137,0.7553220317251336,0.9922636931828147
2023-12-26,4312.541,4270.4448,82917175555923.02,7780990.57,9.38405163686763e-08,9.38405163686763e-08,-4.810836154840532e-08,-1,-1,-1,0,0.0,0.010219795234183038,-0.010219795234183038,0.7476027952250356,1.0024044249454573
2023-12-27,4273.5589,4292.6726,83428477633868.0,8587397.67,1.0293125217610257e-07,1.0293125217610257e-07,-4.181084989611312e-08,-1,-1,-1,0,0.0,-0.005205031569545104,0.005205031569545104,0.751494091375662,0.9971868782681645
2023-12-28,4288.5453,4379.7722,84726043944192.0,14239711.86,1.680677061870081e-07,1.680677061870081e-07,1.4124095277818497e-08,1,-1,-1,0,0.0,-0.02029029653927039,0.02029029653927039,0.7667421293371838,0.9769536608030341
2023-12-29,4375.0426,4421.9569,85442908327277.02,12834681.5,1.5021353733464412e-07,1.5021353733464412e-07,-7.331267781798616e-09,-1,1,-1,2,0.0006,-0.010231710982594077,0.009631710982594077,0.7741271679251382,0.9669577533023102
2024-01-02,4421.1571,4390.8325,85007041352098.98,11400213.99,1.3410905506968933e-07,1.3410905506968933e-07,-2.621143455640547e-08,-1,-1,1,2,0.0006,-0.007638603203029847,-0.007038603203029847,0.7686783939614279,0.9595715467107405
2024-01-03,4381.0874,4376.8249,84945140167865.97,9748732.73,1.1476504377689949e-07,1.1476504377689949e-07,-3.394824774763508e-08,-1,-1,-1,0,0.0,0.003190192292691796,-0.003190192292691796,0.7662261620734534,0.9626327644633434
2024-01-04,4371.9125,4344.002,84535404467148.0,8978342.01,1.0620806828326169e-07,1.0620806828326169e-07,-4.3034089727936454e-08,-1,-1,-1,0,0.0,0.007499249056090673,-0.007499249056090673,0.7604800412507721,0.969851787313607
2024-01-05,4339.0949,4292.7876,83708513965159.03,10286210.08,1.228812888051185e-07,1.228812888051185e-07,-2.12520770492313e-08,-1,-1,-1,0,0.0,0.011789681496463533,-0.011789681496463533,0.751514223780008,0.9812860309848103
2024-01-08,4284.1138,4219.1212,82462483509775.02,8505546.64,1.0314443948309854e-07,1.0314443948309854e-07,-1.0432536637900331e-07,-1,-1,-1,0,0.0,0.017160504283976197,-0.017160504283976197,0.7386178607233621,0.9981253941233311
2024-01-09,4223.1676,4231.0572,82642266860732.98,8802551.829999998,1.0651392035063455e-07,1.0651392035063455e-07,-4.940780013417672e-08,-1,-1,-1,0,0.0,-0.002829025153390008,0.002829025153390008,0.7407074292300916,0.9953016722771189
2024-01-10,4219.3236,4204.0047,82078639525168.0,8355878.789999999,1.0180332956710148e-07,1.0180332956710148e-07,-3.424963854230516e-08,-1,-1,-1,0,0.0,0.006393792076363258,-0.006393792076363258,0.7359714999381768,1.0016654242229155
2024-01-11,4200.4367,4252.1722,82634300845214.0,9805479.01,1.1866112388809437e-07,1.1866112388809437e-07,-1.6143779622543006e-08,-1,-1,-1,0,0.0,-0.01145752762835861,0.01145752762835861,0.744403913732403,0.9901888149505099
2024-01-12,4242.2915,4230.0851,82383196757748.98,9066997.54,1.1005882142036635e-07,1.1005882142036635e-07,-1.8851251990763306e-08,-1,-1,-1,0,0.0,0.00519430986355629,-0.00519430986355629,0.7405372491408329,0.9953321624787904
2024-01-15,4214.4507,4223.3597,82414281874331.02,7618027.59,9.243576982950976e-08,9.243576982950976e-08,-3.857512704891021e-08,-1,-1,-1,0,0.0,0.0015898970921413014,-0.0015898970921413014,0.7393598711218016,0.9969146381896301
2024-01-16,4217.5623,4228.4192,82580341443834.0,8713928.719999999,1.0552061868049637e-07,1.0552061868049637e-07,-6.96186713208252e-09,-1,-1,-1,0,0.0,-0.0011979798926433638,0.0011979798926433638,0.7402456093808328,0.9957203544983971
2024-01-17,4218.8386,4127.4226,80798970785177.97,8409102.77,1.0407437976354265e-07,1.0407437976354265e-07,1.2459367161000132e-09,1,-1,-1,0,0.0,0.02388519094795527,-0.02388519094795527,0.7225647016523862,1.019503325296357
2024-01-18,4106.0156,4147.006,81109081495640.0,11967194.6,1.4754444729648792e-07,1.4754444729648792e-07,3.677060569396621e-08,1,1,-1,2,0.0006,-0.005344704358599083,0.004744704358599083,0.7259930575416861,1.0140543814300393
2024-01-19,4136.0614,4117.7214,80611518722920.97,8927188.42,1.1074333496537456e-07,1.1074333496537456e-07,-8.620769300292652e-09,-1,1,1,0,0.0,-0.007061624699843727,-0.007061624699843727,0.7208663670346347,1.0068935099631482
2024-01-22,4109.0507,3966.8375,78113832178696.0,10052308.83,1.2868794872339612e-07,1.2868794872339612e-07,-7.59861974790379e-09,-1,-1,1,2,0.0006,-0.037242571301691355,-0.03664257130169135,0.6944519697815769,0.9693942066251353
2024-01-23,3955.1454,3997.055,78585826823485.02,8680290.57,1.1045618428749464e-07,1.1045618428749464e-07,1.589163901482274e-08,1,-1,-1,0,0.0,-0.0076175290770039705,0.0076175290770039705,0.6997419778539707,0.9620098180690891
2024-01-24,4013.728,4052.8873,79899950193160.0,10401448.950000001,1.3018091907259333e-07,1.3018091907259333e-07,3.634040270391704e-08,1,1,-1,2,0.0006,-0.014568359204464375,0.013968359204464376,0.7095162251510774,0.9479949134812372
2024-01-25,4051.5897,4161.7838,82204062666251.97,14079746.399999999,1.712779872834715e-07,1.712779872834715e-07,6.834673510736893e-08,1,1,1,0,0.0,0.02686886950939904,0.02686886950939904,0.728580124019463,0.9734664651071386
2024-01-26,4147.8,4142.7269,82169720012820.0,12531541.21,1.5250801886686299e-07,1.5250801886686299e-07,-1.555968732014512e-08,-1,1,1,0,0.0,-0.004579022101052099,-0.004579022101052099,0.7252439395291906,0.96900894064878
