date,close,net_top20,factor_ma,z,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2017-09-04,4996.9794,-4788,-4604.8,-1.6842291095035968,-1,-1,0.004973988121065975,-0.004973988121065975,0.9691543489298199,0.9594209643250418
2017-09-05,5005.2707,-4952,-4721.6,-1.7079589469489203,-1,-1,0.0016592623935971496,-0.0016592623935971496,0.9707624302945903,0.9578290331993085
2017-09-06,5014.3779,-4610,-4736.0,-1.679183985026643,-1,-1,0.0018195219691115039,-0.0018195219691115039,0.9725287538632994,0.9560862422307495
2017-09-07,4989.1836,-3850,-4548.8,-1.5515947588435721,-1,-1,-0.005024411901623949,0.005024411901623949,0.9676423688177171,0.9608900133251926
2017-09-08,4993.1938,-3046,-4249.2,-1.3730985398085493,-1,-1,0.000803778798599275,-0.000803778798599275,0.9684201392383992,0.9601176703046961
2017-09-11,5018.1863,-3126,-3916.8,-1.182895911280506,-1,-1,0.005005313432857372,-0.005005313432857372,0.9732673855699787,0.9553119804323963
2017-09-12,5020.0545,-4518,-3830.0,-1.1197045563390182,-1,-1,0.00037228589938953505,-0.00037228589938953505,0.9736297192939621,0.9549563312525634
2017-09-13,5035.2995,-4432,-3794.4,-1.0835394360172086,-1,-1,0.003036819620185316,-0.003036819620185316,0.9765864571283096,0.9520563011293954
2017-09-14,5023.9483,-6528,-4330.0,-1.3302210676631725,-1,-1,-0.0022543246930991634,0.0022543246930991634,0.9743849141630591,0.9542025451582522
2017-09-15,5010.1514,-5938,-4908.4,-1.5881998378793751,-1,-1,-0.002746226508740235,0.002746226508740235,0.9717090324820679,0.9568230014824733
2017-09-18,5036.7134,-6168,-5516.8,-1.8477620190720734,-1,-1,0.005301636194067871,-0.005301636194067871,0.9768606802587775,0.9517502740264973
2017-09-19,5018.5388,-5466,-5706.4,-1.8952042234104443,-1,-1,-0.003608424493638962,0.003608424493638962,0.9733357522532589,0.9551845930271221
