date,open,close,intercept_future,beta_tau,n_contracts,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2022-03-03,5584.6471,5532.5323,0.0017954575303880446,-0.031055100942644676,4,0.19010032455147033,0,0,0,0,0.0,-0.0,-0.005763179365511184,0.9284731456087113,1.0,-0.005763179365511184
2022-03-04,5494.4759,5464.8654,0.0028976230634895433,-0.02474744254205366,4,0.9770360043910749,0,0,0,0,0.0,-0.0,-0.012230728413460845,0.9171172427255795,1.0,-0.012230728413460845
2022-03-07,5439.3028,5323.1469,-0.001133213822895854,-0.028481240623649984,4,-2.2672123215376,-1,0,0,0,0.0,-0.0,-0.025932660665347718,0.8933339524796376,1.0,-0.025932660665347718
2022-03-08,5327.0833,5184.9606,-0.00489947864526984,-0.029805121520891792,4,-3.2858734298661196,-1,-1,0,1,0.0003,-0.0003,-0.02595951278368802,0.87014343832014,0.9997,-0.02595951278368802
2022-03-09,5199.5778,5128.0127,-0.0037492710485072887,-0.03674972451928425,4,-2.199267787252682,-1,-1,-1,0,0.0,0.010983285003168586,-0.010983285003168586,0.8605864049434329,1.0106799900176677,-0.010983285003168586
2022-03-10,5239.9505,5220.4951,-0.004813048929643248,-0.039806941922384084,4,-2.1943543252653344,-1,-1,-1,0,0.0,-0.018034744726743712,0.018034744726743712,0.8761068610718937,0.9924526343972712,0.018034744726743712
2022-03-11,5150.4247,5248.107,0.003017147160286748,-0.04381003721672534,4,0.8002108240122813,0,-1,-1,0,0.0,-0.005289134358156922,0.005289134358156922,0.880740707972206,0.9872034190698372,0.005289134358156922
2022-03-14,5192.7674,5098.4115,-0.002106124370803524,-0.048061956252831876,4,-1.0542529474568165,-1,0,-1,1,0.0003,0.028223713407520022,-0.028523713407520024,0.8556187124316705,1.0150659654445882,-0.028523713407520024
2022-03-15,5048.0218,4854.0465,-0.011389626734756034,-0.06854039237231953,4,-3.0662260999987696,-1,-1,0,1,0.0003,-0.0003,-0.047929634553821265,0.8146092202274094,1.0147614456549547,-0.047929634553821265
2022-03-16,4937.2964,5040.985,-5.090582729341819e-05,-0.05055591189043208,4,-0.0461007389728416,0,-1,-1,0,0.0,-0.038511888998179034,0.038511888998179034,0.8459813600937006,0.9756810655002595,0.038511888998179034
